Year,US_Population
1980,227220000
1981,229470000
1982,231660000
1983,233790000
1984,235820000
1985,237920000
1986,240130000
1987,242290000
1988,244500000
1989,246820000
1990,249620000
1991,252980000
1992,256510000
1993,259920000
1994,263130000
1995,266280000
1996,269390000
1997,272650000
1998,275850000
1999,279040000
2000,282160000
2001,284970000
2002,287630000
2003,290110000
2004,292810000
2005,295520000
2006,298380000
2007,301230000
2008,304090000
2009,306770000
2010,308110000
2011,310450000
2012,312760000
2013,314960000
2014,317340000
